enterprise_id,enterprise_name,enterprise_type,location,contact,register_date
E001,山东寿光绿色农场,种植企业,山东省寿光市,094-1593805,2020-02-24
E002,陕西洛川苹果基地,种植企业,陕西省洛川县,044-9147805,2018-03-21
E003,黑龙江五常米业,种植企业,黑龙江省五常市,029-1967219,2018-11-28
E004,辽宁丹东草莓园,种植企业,辽宁省丹东市,036-1487095,2021-09-10
E005,河北廊坊蔬菜基地,种植企业,河北省廊坊市,097-9470447,2019-05-03
E006,内蒙古土豆农场,种植企业,内蒙古乌兰察布,018-2989290,2021-10-23
E007,新疆吐鲁番葡萄园,种植企业,新疆吐鲁番市,047-4137141,2019-04-16
E008,河南周口种植基地,种植企业,河南省周口市,063-4963425,2022-08-27
E009,山东潍坊蔬菜园,种植企业,山东省潍坊市,015-9055048,2018-01-23
E010,江西赣南脐橙园,种植企业,江西省赣州市,023-9654139,2020-03-19
E011,广西百色芒果园,种植企业,广西百色市,020-2838588,2022-02-08
E012,云南昆明花卉基地,种植企业,云南省昆明市,020-1921353,2023-04-22
E013,四川成都蔬菜基地,种植企业,四川省成都市,077-3981805,2021-12-15
E014,湖北武汉农业园,种植企业,湖北省武汉市,099-7490913,2022-03-21
E015,浙江杭州茶园,种植企业,浙江省杭州市,072-9604068,2019-04-08
E016,寿光蔬菜加工厂,加工企业,山东省寿光市,071-5493461,2022-12-03
E017,洛川果业加工中心,加工企业,陕西省洛川县,082-1496090,2021-02-07
E018,五常大米加工厂,加工企业,黑龙江省五常市,078-4931670,2021-05-25
E019,丹东草莓加工厂,加工企业,辽宁省丹东市,086-4307571,2018-02-21
E020,廊坊蔬菜加工中心,加工企业,河北省廊坊市,066-5980544,2018-07-18
E021,乌兰察布土豆加工厂,加工企业,内蒙古乌兰察布,076-2096147,2021-07-22
E022,吐鲁番葡萄加工厂,加工企业,新疆吐鲁番市,017-6575841,2020-09-08
E023,周口面粉加工厂,加工企业,河南省周口市,067-7804068,2018-06-28
E024,潍坊蔬菜加工厂,加工企业,山东省潍坊市,077-3139289,2019-06-17
E025,赣南脐橙加工中心,加工企业,江西省赣州市,067-8981967,2019-06-06
E026,顺丰冷链物流,物流企业,全国,400-270-2964,2018-11-28
E027,京东物流,物流企业,全国,400-390-4861,2020-08-17
E028,中通快递,物流企业,全国,400-180-7981,2020-01-22
E029,德邦物流,物流企业,全国,400-368-2028,2020-07-15
E030,圆通速递,物流企业,全国,400-906-5340,2017-07-04
E031,韵达快递,物流企业,全国,400-434-1404,2015-05-26
E032,申通快递,物流企业,全国,400-835-1164,2020-06-07
E033,百世快递,物流企业,全国,400-703-5675,2019-05-19
E034,极兔速递,物流企业,全国,400-530-3342,2020-05-19
