record_id,product_id,fertilizer_name,fertilizer_type,amount,apply_date,operator
FR00001,P0001,腐殖酸肥,有机肥料,99kg/亩,2025-06-11,赵六
FR00002,P0001,叶面肥,化学肥料,94kg/亩,2025-05-11,赵六
FR00003,P0002,腐殖酸肥,有机肥料,83kg/亩,2025-07-14,郑十一
FR00004,P0002,生物菌肥,生物肥料,84kg/亩,2025-04-16,张三
FR00005,P0003,有机肥,有机肥料,84kg/亩,2025-06-03,李四
FR00006,P0003,磷肥,化学肥料,72kg/亩,2025-07-16,孙八
FR00007,P0003,氮肥,化学肥料,30kg/亩,2025-06-11,周九
FR00008,P0004,叶面肥,化学肥料,57kg/亩,2025-05-19,吴十
FR00009,P0004,有机肥,有机肥料,39kg/亩,2025-03-27,李四
FR00010,P0005,氮肥,化学肥料,34kg/亩,2025-08-04,钱七
FR00011,P0005,生物菌肥,生物肥料,86kg/亩,2025-08-22,陈十二
FR00012,P0005,氮肥,化学肥料,78kg/亩,2025-08-08,孙八
FR00013,P0006,有机肥,有机肥料,68kg/亩,2025-07-22,李四
FR00014,P0006,叶面肥,化学肥料,69kg/亩,2025-07-07,李四
FR00015,P0007,钾肥,化学肥料,64kg/亩,2025-03-10,郑十一
FR00016,P0007,钾肥,化学肥料,73kg/亩,2025-08-16,张三
FR00017,P0007,生物菌肥,生物肥料,96kg/亩,2025-06-05,郑十一
FR00018,P0008,叶面肥,化学肥料,32kg/亩,2025-06-05,王五
FR00019,P0008,叶面肥,化学肥料,83kg/亩,2025-04-07,陈十二
FR00020,P0008,生物菌肥,生物肥料,42kg/亩,2025-03-09,周九
FR00021,P0009,氮肥,化学肥料,55kg/亩,2025-07-14,李四
FR00022,P0010,生物菌肥,生物肥料,92kg/亩,2025-08-02,周九
FR00023,P0010,复合肥,化学肥料,55kg/亩,2025-08-24,郑十一
FR00024,P0011,钾肥,化学肥料,70kg/亩,2025-07-03,王五
FR00025,P0012,磷肥,化学肥料,89kg/亩,2025-08-24,周九
FR00026,P0013,复合肥,化学肥料,71kg/亩,2025-03-03,赵六
FR00027,P0013,叶面肥,化学肥料,94kg/亩,2025-08-21,赵六
FR00028,P0013,叶面肥,化学肥料,77kg/亩,2025-05-11,陈十二
FR00029,P0014,生物菌肥,生物肥料,91kg/亩,2025-05-02,周九
FR00030,P0015,复合肥,化学肥料,60kg/亩,2025-03-03,张三
FR00031,P0015,有机肥,有机肥料,88kg/亩,2025-05-03,郑十一
FR00032,P0016,钾肥,化学肥料,42kg/亩,2025-07-19,李四
FR00033,P0016,生物菌肥,生物肥料,47kg/亩,2025-04-22,吴十
FR00034,P0016,腐殖酸肥,有机肥料,96kg/亩,2025-04-12,赵六
FR00035,P0017,钾肥,化学肥料,64kg/亩,2025-03-25,陈十二
FR00036,P0017,复合肥,化学肥料,86kg/亩,2025-06-26,赵六
FR00037,P0018,叶面肥,化学肥料,44kg/亩,2025-03-03,周九
FR00038,P0018,复合肥,化学肥料,78kg/亩,2025-07-03,赵六
FR00039,P0019,复合肥,化学肥料,54kg/亩,2025-06-08,郑十一
FR00040,P0020,叶面肥,化学肥料,60kg/亩,2025-08-02,张三
FR00041,P0020,钾肥,化学肥料,73kg/亩,2025-08-11,孙八
FR00042,P0020,生物菌肥,生物肥料,57kg/亩,2025-07-05,张三
FR00043,P0021,叶面肥,化学肥料,61kg/亩,2025-07-22,孙八
FR00044,P0022,腐殖酸肥,有机肥料,84kg/亩,2025-08-23,张三
FR00045,P0022,氮肥,化学肥料,41kg/亩,2025-03-17,周九
FR00046,P0022,生物菌肥,生物肥料,30kg/亩,2025-04-11,吴十
FR00047,P0023,叶面肥,化学肥料,46kg/亩,2025-07-17,王五
FR00048,P0023,有机肥,有机肥料,51kg/亩,2025-04-15,吴十
FR00049,P0023,磷肥,化学肥料,94kg/亩,2025-05-11,周九
FR00050,P0024,有机肥,有机肥料,81kg/亩,2025-08-17,吴十
FR00051,P0024,有机肥,有机肥料,81kg/亩,2025-04-16,郑十一
FR00052,P0025,钾肥,化学肥料,44kg/亩,2025-04-08,孙八
FR00053,P0025,腐殖酸肥,有机肥料,99kg/亩,2025-04-09,钱七
FR00054,P0025,叶面肥,化学肥料,85kg/亩,2025-06-27,周九
FR00055,P0026,叶面肥,化学肥料,58kg/亩,2025-04-17,孙八
