record_id,product_id,pesticide_name,pesticide_type,amount,apply_date,safety_interval,compliant
PS00001,P0002,百菌清,杀菌剂,138ml/亩,2025-04-07,7,true
PS00002,P0002,多菌灵,杀菌剂,109ml/亩,2025-07-15,21,false
PS00003,P0003,甲胺磷,杀虫剂,42ml/亩,2025-04-24,14,false
PS00004,P0005,甲基托布津,杀菌剂,78ml/亩,2025-06-12,7,true
PS00005,P0006,苦参碱,生物农药,108ml/亩,2025-05-05,21,false
PS00006,P0009,多菌灵,杀菌剂,64ml/亩,2025-06-02,7,true
PS00007,P0010,甲胺磷,杀虫剂,71ml/亩,2025-06-14,7,false
PS00008,P0010,苦参碱,生物农药,59ml/亩,2025-08-20,14,true
PS00009,P0012,代森锰锌,杀菌剂,118ml/亩,2025-06-14,14,true
PS00010,P0013,甲胺磷,杀虫剂,110ml/亩,2025-08-18,14,false
PS00011,P0013,百菌清,杀菌剂,43ml/亩,2025-08-13,7,true
PS00012,P0015,阿维菌素,生物农药,64ml/亩,2025-07-28,7,true
PS00013,P0015,吡虫啉,杀虫剂,147ml/亩,2025-08-15,14,true
PS00014,P0016,多菌灵,杀菌剂,68ml/亩,2025-08-28,21,true
PS00015,P0016,代森锰锌,杀菌剂,101ml/亩,2025-09-25,7,true
PS00016,P0017,苦参碱,生物农药,51ml/亩,2025-07-14,21,false
PS00017,P0018,甲胺磷,杀虫剂,106ml/亩,2025-09-27,14,false
PS00018,P0018,三唑酮,杀菌剂,73ml/亩,2025-07-03,14,true
PS00019,P0019,百菌清,杀菌剂,120ml/亩,2025-04-08,21,true
PS00020,P0020,三唑酮,杀菌剂,96ml/亩,2025-08-12,14,true
PS00021,P0022,三唑酮,杀菌剂,127ml/亩,2025-09-25,7,true
PS00022,P0022,多菌灵,杀菌剂,144ml/亩,2025-07-11,14,true
PS00023,P0023,三唑酮,杀菌剂,148ml/亩,2025-09-06,21,true
PS00024,P0024,苦参碱,生物农药,55ml/亩,2025-07-17,14,true
PS00025,P0026,敌敌畏,杀虫剂,70ml/亩,2025-04-06,14,false
PS00026,P0027,多菌灵,杀菌剂,99ml/亩,2025-06-01,21,true
PS00027,P0027,吡虫啉,杀虫剂,77ml/亩,2025-09-12,21,false
PS00028,P0028,多菌灵,杀菌剂,87ml/亩,2025-04-16,21,true
PS00029,P0028,代森锰锌,杀菌剂,61ml/亩,2025-04-17,21,true
PS00030,P0029,甲基托布津,杀菌剂,145ml/亩,2025-07-19,14,true
PS00031,P0029,甲基托布津,杀菌剂,128ml/亩,2025-08-17,14,true
