record_id,product_id,farm_name,farm_location,start_date,end_date,soil_ph,temperature_range,humidity_range,qualified
PL0001,P0001,四川成都蔬菜基地,四川省成都市,2025-02-20,2025-05-27,6.3,10-25℃,57-81%,true
PL0002,P0002,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-06-26,2025-11-02,6.6,16-29℃,57-86%,true
PL0003,P0003,四川成都蔬菜基地,四川省成都市,2025-03-04,2025-07-27,5.6,15-35℃,60-75%,true
PL0004,P0004,山东寿光绿色农场,山东省寿光市,2025-02-22,2025-04-13,6.3,18-33℃,51-82%,true
PL0005,P0005,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-04-28,2025-06-09,5.8,18-28℃,54-84%,true
PL0006,P0006,河南周口种植基地,河南省周口市,2025-02-08,2025-06-15,7.0,15-27℃,53-82%,true
PL0007,P0007,河北廊坊蔬菜基地,河北省廊坊市,2025-02-16,2025-06-11,7.2,11-32℃,52-80%,true
PL0008,P0008,陕西洛川苹果基地,陕西省洛川县,2025-05-23,2025-10-14,7.4,12-27℃,64-70%,true
PL0009,P0009,黑龙江五常米业,黑龙江省五常市,2025-02-09,2025-07-19,7.5,19-27℃,52-89%,true
PL0010,P0010,山东潍坊蔬菜园,山东省潍坊市,2025-06-02,2025-11-10,7.5,11-28℃,57-75%,true
PL0011,P0011,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-03-17,2025-05-27,6.7,15-25℃,59-75%,true
PL0012,P0012,江西赣南脐橙园,江西省赣州市,2025-06-15,2025-11-24,6.9,14-32℃,64-73%,true
PL0013,P0013,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-06-15,2025-08-20,6.4,17-28℃,52-83%,true
PL0014,P0014,湖北武汉农业园,湖北省武汉市,2025-06-02,2025-10-18,5.7,20-28℃,54-86%,true
PL0015,P0015,湖北武汉农业园,湖北省武汉市,2025-06-19,2025-11-28,5.7,18-35℃,58-87%,true
PL0016,P0016,山东寿光绿色农场,山东省寿光市,2025-05-25,2025-09-08,7.3,10-34℃,63-76%,true
PL0017,P0017,江西赣南脐橙园,江西省赣州市,2025-02-11,2025-06-26,6.3,13-35℃,50-81%,true
PL0018,P0018,辽宁丹东草莓园,辽宁省丹东市,2025-06-07,2025-11-18,7.0,11-29℃,55-85%,true
PL0019,P0019,广西百色芒果园,广西百色市,2025-02-15,2025-05-22,7.5,14-30℃,56-78%,true
PL0020,P0020,河北廊坊蔬菜基地,河北省廊坊市,2025-03-22,2025-05-02,6.6,20-30℃,51-88%,true
PL0021,P0021,黑龙江五常米业,黑龙江省五常市,2025-01-20,2025-04-22,6.4,10-28℃,65-76%,true
PL0022,P0022,陕西洛川苹果基地,陕西省洛川县,2025-01-23,2025-03-03,5.8,15-29℃,57-86%,true
PL0023,P0023,辽宁丹东草莓园,辽宁省丹东市,2025-01-21,2025-04-18,6.5,10-29℃,64-76%,true
PL0024,P0024,广西百色芒果园,广西百色市,2025-06-10,2025-10-11,5.9,14-26℃,60-82%,false
PL0025,P0025,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-05-12,2025-07-03,6.2,16-34℃,63-72%,true
PL0026,P0026,云南昆明花卉基地,云南省昆明市,2025-06-04,2025-08-19,6.5,18-29℃,53-80%,true
PL0027,P0027,河南周口种植基地,河南省周口市,2025-01-23,2025-06-08,6.7,18-33℃,65-77%,true
PL0028,P0028,山东寿光绿色农场,山东省寿光市,2025-05-06,2025-09-09,6.1,13-30℃,58-76%,true
PL0029,P0029,山东潍坊蔬菜园,山东省潍坊市,2025-06-07,2025-10-11,6.3,15-31℃,65-74%,true
PL0030,P0030,黑龙江五常米业,黑龙江省五常市,2025-01-09,2025-04-12,5.5,12-32℃,57-88%,true
PL0031,P0031,陕西洛川苹果基地,陕西省洛川县,2025-01-17,2025-04-09,6.3,12-28℃,60-75%,true
PL0032,P0032,广西百色芒果园,广西百色市,2025-03-07,2025-07-11,6.2,16-30℃,58-76%,true
PL0033,P0033,陕西洛川苹果基地,陕西省洛川县,2025-06-28,2025-09-11,5.6,18-32℃,56-73%,true
PL0034,P0034,黑龙江五常米业,黑龙江省五常市,2025-01-27,2025-03-10,7.2,16-33℃,50-80%,true
PL0035,P0035,广西百色芒果园,广西百色市,2025-03-26,2025-07-22,5.8,18-35℃,62-75%,true
PL0036,P0036,辽宁丹东草莓园,辽宁省丹东市,2025-02-12,2025-05-09,7.4,15-29℃,61-73%,true
PL0037,P0037,陕西洛川苹果基地,陕西省洛川县,2025-01-19,2025-04-13,6.4,16-29℃,62-86%,true
PL0038,P0038,辽宁丹东草莓园,辽宁省丹东市,2025-05-23,2025-09-28,7.0,16-25℃,60-87%,true
PL0039,P0039,湖北武汉农业园,湖北省武汉市,2025-06-04,2025-11-16,6.6,15-29℃,56-80%,true
PL0040,P0040,河南周口种植基地,河南省周口市,2025-02-15,2025-06-17,6.7,20-30℃,57-89%,true
PL0041,P0041,陕西洛川苹果基地,陕西省洛川县,2025-06-26,2025-11-19,6.4,13-33℃,55-74%,true
PL0042,P0042,湖北武汉农业园,湖北省武汉市,2025-05-23,2025-08-08,6.1,13-29℃,59-90%,true
PL0043,P0043,河北廊坊蔬菜基地,河北省廊坊市,2025-05-16,2025-10-21,7.4,17-31℃,56-85%,true
PL0044,P0044,黑龙江五常米业,黑龙江省五常市,2025-06-11,2025-08-21,7.5,19-33℃,52-86%,true
PL0045,P0045,湖北武汉农业园,湖北省武汉市,2025-06-16,2025-08-11,6.2,14-31℃,51-79%,true
PL0046,P0046,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-04-04,2025-08-25,6.2,19-26℃,64-77%,true
PL0047,P0047,新疆吐鲁番葡萄园,新疆吐鲁番市,2025-04-09,2025-07-01,6.6,14-29℃,65-87%,true
PL0048,P0048,河北廊坊蔬菜基地,河北省廊坊市,2025-05-18,2025-10-11,7.5,14-25℃,50-80%,true
PL0049,P0049,云南昆明花卉基地,云南省昆明市,2025-01-12,2025-04-22,7.1,13-32℃,51-90%,true
PL0050,P0050,江西赣南脐橙园,江西省赣州市,2025-04-28,2025-06-15,7.2,14-33℃,63-75%,true
PL0051,P0051,内蒙古土豆农场,内蒙古乌兰察布,2025-06-18,2025-11-24,5.9,10-25℃,64-85%,true
PL0052,P0052,辽宁丹东草莓园,辽宁省丹东市,2025-06-09,2025-10-18,7.1,17-35℃,56-85%,true
PL0053,P0053,广西百色芒果园,广西百色市,2025-01-22,2025-04-14,7.3,13-30℃,64-87%,true
