record_id,product_id,factory_name,factory_location,process_date,process_steps,hygiene_score,qualified
PR0001,P0001,周口面粉加工厂,河南省周口市,2025-06-20,清洗-包装-分拣-打蜡,95,true
PR0002,P0002,洛川果业加工中心,陕西省洛川县,2025-10-05,分拣-烘干-包装-打蜡,96,true
PR0003,P0003,寿光蔬菜加工厂,山东省寿光市,2025-10-08,分级-冷藏-清洗,99,true
PR0004,P0004,潍坊蔬菜加工厂,山东省潍坊市,2025-12-26,清洗-切割-分级,94,true
PR0005,P0005,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-06-28,清洗-烘干,99,true
PR0006,P0006,寿光蔬菜加工厂,山东省寿光市,2025-08-18,烘干-清洗,94,true
PR0007,P0007,潍坊蔬菜加工厂,山东省潍坊市,2025-07-23,分拣-切割-冷藏-清洗,91,true
PR0008,P0008,潍坊蔬菜加工厂,山东省潍坊市,2025-08-17,分级-分拣-切割,98,true
PR0009,P0009,赣南脐橙加工中心,江西省赣州市,2025-07-17,烘干-冷藏-打蜡-包装,89,false
PR0010,P0010,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-10-27,分级-包装-分拣,95,true
PR0011,P0011,周口面粉加工厂,河南省周口市,2025-10-13,清洗-包装,95,true
PR0012,P0012,丹东草莓加工厂,辽宁省丹东市,2025-12-18,冷藏-分级,95,true
PR0013,P0013,赣南脐橙加工中心,江西省赣州市,2025-06-17,包装-分级-分拣-冷藏,98,true
PR0014,P0014,赣南脐橙加工中心,江西省赣州市,2025-07-23,包装-打蜡,96,true
PR0015,P0015,周口面粉加工厂,河南省周口市,2025-07-11,分级-清洗-分拣,99,true
PR0016,P0016,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-11-18,冷藏-包装-烘干,92,true
PR0017,P0017,赣南脐橙加工中心,江西省赣州市,2025-10-24,分拣-切割-分级,97,true
PR0018,P0018,周口面粉加工厂,河南省周口市,2025-12-24,烘干-打蜡-冷藏-清洗,92,true
PR0019,P0019,洛川果业加工中心,陕西省洛川县,2025-06-02,切割-分拣-冷藏,97,true
PR0020,P0020,洛川果业加工中心,陕西省洛川县,2025-08-07,分拣-冷藏,93,true
PR0021,P0021,寿光蔬菜加工厂,山东省寿光市,2025-10-25,分拣-清洗-切割-包装,92,true
PR0022,P0022,寿光蔬菜加工厂,山东省寿光市,2025-08-24,打蜡-分拣-烘干-切割,96,true
PR0023,P0023,寿光蔬菜加工厂,山东省寿光市,2025-07-19,包装-清洗-烘干-分级,95,true
PR0024,P0024,周口面粉加工厂,河南省周口市,2025-10-17,烘干-打蜡,91,true
PR0025,P0025,五常大米加工厂,黑龙江省五常市,2025-08-27,包装-切割-分级-打蜡,97,true
PR0026,P0026,丹东草莓加工厂,辽宁省丹东市,2025-08-03,冷藏-分级-烘干,90,true
PR0027,P0027,洛川果业加工中心,陕西省洛川县,2025-06-09,打蜡-冷藏,97,true
PR0028,P0028,赣南脐橙加工中心,江西省赣州市,2025-11-23,冷藏-打蜡-分级,80,false
PR0029,P0029,五常大米加工厂,黑龙江省五常市,2025-11-25,冷藏-分级,85,false
PR0030,P0030,廊坊蔬菜加工中心,河北省廊坊市,2025-07-26,烘干-清洗-打蜡-分级,91,true
PR0031,P0031,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-09-27,切割-烘干,98,true
PR0032,P0032,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-08-02,分级-清洗-烘干-包装,96,true
PR0033,P0033,廊坊蔬菜加工中心,河北省廊坊市,2025-09-13,分级-切割-包装-分拣,98,true
PR0034,P0034,廊坊蔬菜加工中心,河北省廊坊市,2025-08-22,冷藏-打蜡,94,true
PR0035,P0035,周口面粉加工厂,河南省周口市,2025-06-04,分拣-切割,97,true
PR0036,P0036,赣南脐橙加工中心,江西省赣州市,2025-08-06,冷藏-包装-分级,91,true
PR0037,P0037,廊坊蔬菜加工中心,河北省廊坊市,2025-06-04,烘干-包装-分拣,91,true
PR0038,P0038,周口面粉加工厂,河南省周口市,2025-08-20,冷藏-分级-包装,97,true
PR0039,P0039,洛川果业加工中心,陕西省洛川县,2025-07-22,切割-清洗,92,true
PR0040,P0040,洛川果业加工中心,陕西省洛川县,2025-09-01,分级-冷藏-烘干-清洗,85,false
PR0041,P0041,廊坊蔬菜加工中心,河北省廊坊市,2025-07-10,烘干-分拣-分级,90,true
PR0042,P0042,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-06-06,切割-打蜡,92,true
PR0043,P0043,寿光蔬菜加工厂,山东省寿光市,2025-11-02,分拣-打蜡-切割,93,true
PR0044,P0044,丹东草莓加工厂,辽宁省丹东市,2025-10-25,切割-清洗-烘干,96,true
PR0045,P0045,廊坊蔬菜加工中心,河北省廊坊市,2025-08-27,包装-烘干-分级-切割,92,true
PR0046,P0046,五常大米加工厂,黑龙江省五常市,2025-09-24,分级-分拣-切割,100,true
PR0047,P0047,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-10-23,切割-打蜡-冷藏,100,true
PR0048,P0048,丹东草莓加工厂,辽宁省丹东市,2025-11-12,切割-清洗-冷藏,95,true
PR0049,P0049,潍坊蔬菜加工厂,山东省潍坊市,2025-11-09,烘干-切割-冷藏-清洗,100,true
PR0050,P0050,丹东草莓加工厂,辽宁省丹东市,2025-10-08,冷藏-分级-分拣,91,true
PR0051,P0051,廊坊蔬菜加工中心,河北省廊坊市,2025-07-11,分级-打蜡-切割,93,true
PR0052,P0052,赣南脐橙加工中心,江西省赣州市,2025-06-19,分拣-清洗,97,true
PR0053,P0053,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-10-18,分拣-清洗-切割-烘干,89,false
PR0054,P0054,赣南脐橙加工中心,江西省赣州市,2025-09-09,冷藏-分拣-打蜡-烘干,95,true
PR0055,P0055,周口面粉加工厂,河南省周口市,2025-07-22,冷藏-打蜡-分拣-清洗,94,true
PR0056,P0056,五常大米加工厂,黑龙江省五常市,2025-10-02,包装-打蜡,100,true
PR0057,P0057,丹东草莓加工厂,辽宁省丹东市,2025-08-04,分拣-打蜡-烘干,99,true
PR0058,P0058,潍坊蔬菜加工厂,山东省潍坊市,2025-07-17,清洗-包装,91,true
PR0059,P0059,丹东草莓加工厂,辽宁省丹东市,2025-07-03,烘干-分拣-打蜡,96,true
PR0060,P0060,周口面粉加工厂,河南省周口市,2025-07-24,冷藏-包装-打蜡,96,true
PR0061,P0061,五常大米加工厂,黑龙江省五常市,2025-10-12,切割-分级-清洗,100,true
PR0062,P0062,丹东草莓加工厂,辽宁省丹东市,2025-10-24,清洗-分级-切割,90,true
PR0063,P0063,周口面粉加工厂,河南省周口市,2025-07-02,分级-烘干-冷藏-包装,97,true
PR0064,P0064,寿光蔬菜加工厂,山东省寿光市,2025-11-28,清洗-分级-切割-包装,98,true
PR0065,P0065,洛川果业加工中心,陕西省洛川县,2025-10-26,清洗-分拣-打蜡-烘干,97,true
PR0066,P0066,廊坊蔬菜加工中心,河北省廊坊市,2025-12-18,分级-切割,92,true
PR0067,P0067,潍坊蔬菜加工厂,山东省潍坊市,2025-12-21,分拣-切割,90,true
PR0068,P0068,周口面粉加工厂,河南省周口市,2025-10-10,打蜡-切割-冷藏-分级,97,true
PR0069,P0069,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-12-01,清洗-烘干-包装-分级,93,true
PR0070,P0070,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-10-23,分级-冷藏,93,true
PR0071,P0071,五常大米加工厂,黑龙江省五常市,2025-10-11,冷藏-烘干-分级-包装,93,true
PR0072,P0072,赣南脐橙加工中心,江西省赣州市,2025-11-22,烘干-分拣-冷藏-分级,98,true
PR0073,P0073,洛川果业加工中心,陕西省洛川县,2025-12-10,包装-分拣-烘干,95,true
PR0074,P0074,吐鲁番葡萄加工厂,新疆吐鲁番市,2025-10-03,烘干-分拣,94,true
PR0075,P0075,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-08-07,切割-分拣-包装,98,true
PR0076,P0076,赣南脐橙加工中心,江西省赣州市,2025-07-02,清洗-包装-烘干-打蜡,92,true
PR0077,P0077,寿光蔬菜加工厂,山东省寿光市,2025-12-23,打蜡-包装-清洗-分拣,95,true
PR0078,P0078,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-11-21,切割-打蜡,90,true
PR0079,P0079,丹东草莓加工厂,辽宁省丹东市,2025-10-11,冷藏-分拣-打蜡-切割,95,true
PR0080,P0080,五常大米加工厂,黑龙江省五常市,2025-08-16,分级-分拣-烘干,94,true
PR0081,P0081,周口面粉加工厂,河南省周口市,2025-09-28,冷藏-切割-包装,97,true
PR0082,P0082,周口面粉加工厂,河南省周口市,2025-12-23,包装-打蜡-切割-冷藏,98,true
PR0083,P0083,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-12-07,切割-清洗-包装,100,true
PR0084,P0084,廊坊蔬菜加工中心,河北省廊坊市,2025-10-01,分级-清洗,100,true
PR0085,P0085,寿光蔬菜加工厂,山东省寿光市,2025-07-08,分拣-清洗-包装,95,true
PR0086,P0086,赣南脐橙加工中心,江西省赣州市,2025-06-01,分拣-分级,95,true
PR0087,P0087,寿光蔬菜加工厂,山东省寿光市,2025-11-10,烘干-包装-打蜡-分级,99,true
PR0088,P0088,洛川果业加工中心,陕西省洛川县,2025-09-13,包装-清洗,97,true
PR0089,P0089,潍坊蔬菜加工厂,山东省潍坊市,2025-10-11,分级-清洗-切割,92,true
PR0090,P0090,丹东草莓加工厂,辽宁省丹东市,2025-12-13,分拣-冷藏-清洗,93,true
PR0091,P0091,丹东草莓加工厂,辽宁省丹东市,2025-08-18,清洗-打蜡-包装,96,true
PR0092,P0092,潍坊蔬菜加工厂,山东省潍坊市,2025-11-02,冷藏-包装,95,true
PR0093,P0093,潍坊蔬菜加工厂,山东省潍坊市,2025-09-05,清洗-烘干-包装-分级,95,true
PR0094,P0094,廊坊蔬菜加工中心,河北省廊坊市,2025-10-26,分拣-分级-打蜡-烘干,98,true
PR0095,P0095,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-08-26,分拣-包装-烘干-打蜡,95,true
PR0096,P0096,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-09-25,清洗-包装-分级,98,true
PR0097,P0097,周口面粉加工厂,河南省周口市,2025-10-01,分拣-打蜡,95,true
PR0098,P0098,乌兰察布土豆加工厂,内蒙古乌兰察布,2025-12-16,分级-包装,100,true
PR0099,P0099,寿光蔬菜加工厂,山东省寿光市,2025-06-20,分拣-切割-包装-烘干,100,true
PR0100,P0100,赣南脐橙加工中心,江西省赣州市,2025-10-27,打蜡-包装-冷藏-分级,100,true
PR0101,P0101,洛川果业加工中心,陕西省洛川县,2025-11-13,冷藏-清洗,97,true
