record_id,product_id,channel,store_name,store_location,shelf_date,price,qualified
SL0001,P0001,盒马鲜生,上海浦东店,上海浦东店地址,2025-11-24,27.6元/斤,true
SL0002,P0002,盒马鲜生,深圳南山店,深圳南山店地址,2025-10-28,36.8元/斤,true
SL0003,P0003,物美超市,北京丰台店,北京丰台店地址,2025-10-11,43.5元/斤,true
SL0004,P0004,永辉超市,武汉光谷店,武汉光谷店地址,2025-08-14,18.3元/斤,true
SL0005,P0005,天猫超市,线上商城,线上商城,2025-08-08,23.5元/斤,true
SL0006,P0006,天猫超市,线上商城,线上商城,2025-12-03,17.6元/斤,true
SL0007,P0007,物美超市,北京海淀店,北京海淀店地址,2025-10-22,32.4元/斤,true
SL0008,P0008,大润发,杭州店,杭州店地址,2025-11-23,34.5元/斤,true
SL0009,P0009,盒马鲜生,上海浦东店,上海浦东店地址,2025-11-19,15.8元/斤,true
SL0010,P0010,华润万家,广州店,广州店地址,2025-11-22,26.0元/斤,true
SL0011,P0011,大润发,无锡店,无锡店地址,2025-12-02,42.9元/斤,true
SL0012,P0012,物美超市,天津南开店,天津南开店地址,2025-11-12,34.4元/斤,true
SL0013,P0013,京东自营,线上商城,线上商城,2025-10-23,48.6元/斤,true
SL0014,P0014,京东自营,线上商城,线上商城,2025-11-05,34.9元/斤,true
SL0015,P0015,永辉超市,南京新街口店,南京新街口店地址,2025-09-13,24.8元/斤,true
SL0016,P0016,天猫超市,线上商城,线上商城,2025-10-27,37.5元/斤,true
SL0017,P0017,华润万家,深圳店,深圳店地址,2025-11-11,36.5元/斤,true
SL0018,P0018,永辉超市,成都春熙店,成都春熙店地址,2025-10-26,30.4元/斤,true
SL0019,P0019,京东自营,线上商城,线上商城,2025-08-14,49.5元/斤,true
SL0020,P0020,京东自营,线上商城,线上商城,2025-10-23,21.5元/斤,true
SL0021,P0021,永辉超市,武汉光谷店,武汉光谷店地址,2025-09-06,14.6元/斤,true
SL0022,P0022,大润发,杭州店,杭州店地址,2025-11-08,44.5元/斤,true
SL0023,P0023,大润发,苏州店,苏州店地址,2025-10-16,7.4元/斤,true
SL0024,P0024,京东自营,线上商城,线上商城,2025-09-02,28.2元/斤,true
SL0025,P0025,物美超市,天津南开店,天津南开店地址,2025-08-06,37.2元/斤,true
SL0026,P0026,京东自营,线上商城,线上商城,2025-10-08,38.4元/斤,false
SL0027,P0027,京东自营,线上商城,线上商城,2025-08-08,13.8元/斤,true
SL0028,P0028,天猫超市,线上商城,线上商城,2025-08-11,44.0元/斤,true
SL0029,P0029,盒马鲜生,上海浦东店,上海浦东店地址,2025-10-24,29.4元/斤,true
SL0030,P0030,京东自营,线上商城,线上商城,2025-11-18,46.0元/斤,true
SL0031,P0031,盒马鲜生,北京朝阳店,北京朝阳店地址,2025-12-08,29.2元/斤,false
SL0032,P0032,大润发,杭州店,杭州店地址,2025-12-07,10.0元/斤,true
SL0033,P0033,华润万家,深圳店,深圳店地址,2025-11-23,4.5元/斤,true
SL0034,P0034,天猫超市,线上商城,线上商城,2025-08-15,17.8元/斤,true
SL0035,P0035,大润发,杭州店,杭州店地址,2025-08-05,12.6元/斤,true
SL0036,P0036,盒马鲜生,上海浦东店,上海浦东店地址,2025-09-14,48.9元/斤,false
SL0037,P0037,盒马鲜生,广州天河店,广州天河店地址,2025-09-09,18.7元/斤,true
