product_id,trace_code,product_name,category,batch_no,create_time,overall_qualified
P0001,56B2B385FF8EF870,土豆,蔬菜,土豆202512310001,2025-05-16 14:00:00,true
P0002,694257FD24B8DF45,白菜,蔬菜,白菜202512310002,2025-04-12 12:00:00,true
P0003,EC535F8B59614FBB,豆角,蔬菜,豆角202512310003,2025-05-10 13:00:00,true
P0004,2C97DFC5F97C174B,大豆,粮食,大豆202512310004,2025-10-01 18:00:00,true
P0005,BCD58A7A9E7F8E9D,草莓,水果,草莓202512310005,2025-05-03 10:00:00,true
P0006,7A3A125202C1873F,红富士苹果,水果,红富202512310006,2025-09-03 16:00:00,true
P0007,1A858D9A15077ECB,芒果,水果,芒果202512310007,2025-10-27 18:00:00,true
P0008,199374D33A38CDC6,草莓,水果,草莓202512310008,2025-02-19 11:00:00,true
P0009,4327397FEB3ACBF1,辣椒,蔬菜,辣椒202512310009,2025-07-28 16:00:00,true
P0010,9D9AC414DCDB8D46,柚子,水果,柚子202512310010,2025-03-23 11:00:00,true
P0011,4152BB1ABE08C6C5,土豆,蔬菜,土豆202512310011,2025-05-11 09:00:00,true
P0012,D0EEDFA513D01B0C,芒果,水果,芒果202512310012,2025-05-17 09:00:00,true
P0013,E01A9EBEAE6FA0FC,樱桃,水果,樱桃202512310013,2025-08-25 12:00:00,true
P0014,8FD227CD969331E7,梨,水果,梨202512310014,2025-03-19 12:00:00,true
P0015,42BB801FB0A57701,玉米,粮食,玉米202512310015,2025-02-18 12:00:00,true
P0016,E10896F7254B1D77,西红柿,蔬菜,西红202512310016,2025-09-26 18:00:00,true
P0017,C02E864FED8845DD,香蕉,水果,香蕉202512310017,2025-08-14 09:00:00,true
P0018,792F4FFAB11DD811,柚子,水果,柚子202512310018,2025-09-24 09:00:00,true
P0019,A27A0773D8E31DBA,西瓜,水果,西瓜202512310019,2025-04-09 15:00:00,true
P0020,2B14ACF5831DA95C,猕猴桃,水果,猕猴202512310020,2025-01-01 15:00:00,true
P0021,3369264E70194E08,柚子,水果,柚子202512310021,2025-06-18 10:00:00,true
P0022,55CBCA5B7E0DC150,芒果,水果,芒果202512310022,2025-12-23 09:00:00,true
P0023,1C7FFC6347CFC0DA,樱桃,水果,樱桃202512310023,2025-08-19 18:00:00,true
P0024,4583A6D21E2DA540,梨,水果,梨202512310024,2025-05-17 13:00:00,true
P0025,0D4579391CC47E19,白菜,蔬菜,白菜202512310025,2025-06-21 17:00:00,true
P0026,2EB3134F564E092A,红薯,粮食,红薯202512310026,2025-06-12 14:00:00,true
P0027,A70A59CC0AF4A47D,菠菜,蔬菜,菠菜202512310027,2025-01-25 18:00:00,true
P0028,E219C3F99B182015,燕麦,粮食,燕麦202512310028,2025-06-08 10:00:00,true
P0029,6BCE7C478996905A,豆角,蔬菜,豆角202512310029,2025-09-11 14:00:00,true
P0030,1B9AF4C51C486AFD,红富士苹果,水果,红富202512310030,2025-05-08 08:00:00,true
P0031,1CCF3D7BE52DB029,菠菜,蔬菜,菠菜202512310031,2025-01-16 17:00:00,true
P0032,B4BF09B9AFE61D65,有机番茄,蔬菜,有机202512310032,2025-04-20 15:00:00,true
P0033,9C10BC111F95BAEC,土豆,蔬菜,土豆202512310033,2025-09-22 13:00:00,true
P0034,907CEA191613422B,白菜,蔬菜,白菜202512310034,2025-12-12 14:00:00,true
P0035,D244037230519230,红薯,粮食,红薯202512310035,2025-05-11 15:00:00,true
P0036,44E1E1D8AD6D3F31,土豆,蔬菜,土豆202512310036,2025-08-24 08:00:00,true
P0037,8FB0028C3A5246EA,红富士苹果,水果,红富202512310037,2025-03-28 14:00:00,true
P0038,0318C2FD7CBB71C0,东北大米,粮食,东北202512310038,2025-12-07 14:00:00,true
P0039,BEC1A78CFD1A1EB2,大豆,粮食,大豆202512310039,2025-11-22 18:00:00,true
P0040,74942132FC60725F,葡萄,水果,葡萄202512310040,2025-09-28 11:00:00,true
P0041,C96E6D956DBA230F,柚子,水果,柚子202512310041,2025-08-15 17:00:00,true
P0042,BB8A63736A0FA17F,西瓜,水果,西瓜202512310042,2025-06-25 11:00:00,true
P0043,F1C8ED9F3C50C113,西瓜,水果,西瓜202512310043,2025-08-08 15:00:00,true
P0044,5F44B5386F791AF3,花生,粮食,花生202512310044,2025-07-08 16:00:00,true
P0045,0C74F6910F798DE4,土豆,蔬菜,土豆202512310045,2025-07-15 13:00:00,true
P0046,516876A6254D4F51,玉米,粮食,玉米202512310046,2025-07-11 12:00:00,true
P0047,BB85AE66417D5736,草莓,水果,草莓202512310047,2025-12-03 11:00:00,true
P0048,BB9C03CC5D851084,辣椒,蔬菜,辣椒202512310048,2025-10-05 10:00:00,true
P0049,AF8DA86BB9AD6F94,猕猴桃,水果,猕猴202512310049,2025-06-24 18:00:00,true
P0050,2B5101EF9C2DC9F3,小麦,粮食,小麦202512310050,2025-12-08 11:00:00,true
P0051,B2B94E12C88A7F09,西红柿,蔬菜,西红202512310051,2025-09-09 09:00:00,true
P0052,CC1257A21733DC8B,花生,粮食,花生202512310052,2025-03-22 18:00:00,true
P0053,76E85E238E0D85BA,芒果,水果,芒果202512310053,2025-12-11 12:00:00,true
P0054,A2D8CDF90FDBDB03,东北大米,粮食,东北202512310054,2025-03-19 17:00:00,true
P0055,C0733B25262F5AF6,草莓,水果,草莓202512310055,2025-12-28 17:00:00,true
P0056,B1C2D8497695D2EF,西瓜,水果,西瓜202512310056,2025-04-24 18:00:00,true
P0057,57BF677F21BF7106,西瓜,水果,西瓜202512310057,2025-12-05 18:00:00,true
P0058,6B7F8C230E59A541,白菜,蔬菜,白菜202512310058,2025-10-28 16:00:00,true
P0059,5395142A7E7F8FD7,芒果,水果,芒果202512310059,2025-05-05 10:00:00,true
P0060,1EDF7BE380CC6664,梨,水果,梨202512310060,2025-08-25 13:00:00,true
P0061,84E918D4720A4BE6,芒果,水果,芒果202512310061,2025-10-06 14:00:00,true
P0062,9088426830A832D9,胡萝卜,蔬菜,胡萝202512310062,2025-10-23 16:00:00,true
P0063,8A461874738B8B78,玉米,粮食,玉米202512310063,2025-02-22 17:00:00,true
P0064,CBFFF12463C38C41,橙子,水果,橙子202512310064,2025-11-24 08:00:00,true
P0065,A9B1F904FA6F0E00,葡萄,水果,葡萄202512310065,2025-02-01 08:00:00,true
P0066,AB571B376FEE5ED4,东北大米,粮食,东北202512310066,2025-11-20 08:00:00,true
P0067,208D623699C4E162,茄子,蔬菜,茄子202512310067,2025-10-26 18:00:00,true
P0068,8EEFFBA1BA48F922,黄瓜,蔬菜,黄瓜202512310068,2025-06-06 13:00:00,true
P0069,6765B53C4E2EFAF7,土豆,蔬菜,土豆202512310069,2025-07-02 12:00:00,true
P0070,461970720AF5E38E,芒果,水果,芒果202512310070,2025-07-27 11:00:00,true
P0071,72AD7D9E17CDB604,樱桃,水果,樱桃202512310071,2025-07-13 09:00:00,true
P0072,3B43F5717DF6E4D4,猕猴桃,水果,猕猴202512310072,2025-01-22 15:00:00,true
P0073,EF5250728CB54885,桃子,水果,桃子202512310073,2025-11-10 11:00:00,true
P0074,F7ED55BA7809D91C,梨,水果,梨202512310074,2025-05-12 09:00:00,true
P0075,81F2BEA875ECFEC8,草莓,水果,草莓202512310075,2025-11-24 09:00:00,true
P0076,5C598BA6A9B59F8D,胡萝卜,蔬菜,胡萝202512310076,2025-05-26 12:00:00,true
P0077,658C0FE563D3DCDC,大豆,粮食,大豆202512310077,2025-05-21 14:00:00,true
P0078,A6088D73A6F9C6E6,土豆,蔬菜,土豆202512310078,2025-04-08 16:00:00,true
P0079,6219FFA0E85B8E92,芒果,水果,芒果202512310079,2025-09-18 12:00:00,true
P0080,05DE487CC9EF4826,土豆,蔬菜,土豆202512310080,2025-04-05 11:00:00,true
P0081,575BDB07BB71BC22,柚子,水果,柚子202512310081,2025-07-19 14:00:00,true
P0082,6720A692E23C5F31,豆角,蔬菜,豆角202512310082,2025-04-20 11:00:00,true
P0083,CBF1D83F069380C7,猕猴桃,水果,猕猴202512310083,2025-05-06 14:00:00,true
P0084,E6732E75CE9D25E1,土豆,蔬菜,土豆202512310084,2025-04-15 13:00:00,false
P0085,2EFD137D4196389A,小麦,粮食,小麦202512310085,2025-05-12 09:00:00,false
P0086,7FAD02549061AE57,有机番茄,蔬菜,有机202512310086,2025-04-09 10:00:00,true
P0087,294AEA16FEDFE618,茄子,蔬菜,茄子202512310087,2025-11-05 13:00:00,true
P0088,0DC89B89538C5085,红富士苹果,水果,红富202512310088,2025-09-16 09:00:00,true
P0089,CDF050C3991C5840,黄瓜,蔬菜,黄瓜202512310089,2025-10-28 08:00:00,true
P0090,86C0B7B745670D5F,梨,水果,梨202512310090,2025-10-03 13:00:00,true
P0091,67E669A2E2F8E5EA,橙子,水果,橙子202512310091,2025-06-20 08:00:00,true
P0092,80994BE430E6FF88,红富士苹果,水果,红富202512310092,2025-10-23 17:00:00,true
P0093,7C534223C516C0F0,东北大米,粮食,东北202512310093,2025-01-05 18:00:00,true
P0094,6EECB02F7C6FBC94,香蕉,水果,香蕉202512310094,2025-12-26 12:00:00,true
P0095,A3A684291B2E0ED4,胡萝卜,蔬菜,胡萝202512310095,2025-04-22 17:00:00,false
