record_id,product_id,company_name,vehicle_no,start_date,end_date,required_temp_range,qualified
TR0001,P0001,圆通速递,浙U81666,2025-07-23,2025-07-28,2-8℃,true
TR0002,P0002,韵达快递,苏C56761,2025-11-23,2025-11-28,5-15℃,true
TR0003,P0003,京东物流,京L94698,2025-11-24,2025-11-26,0-4℃,false
TR0004,P0004,中通快递,沪X66896,2025-11-03,2025-11-28,0-5℃,true
TR0005,P0005,韵达快递,苏H17190,2025-07-11,2025-07-26,常温,true
TR0006,P0006,极兔速递,鄂S82564,2025-11-16,2025-11-28,2-8℃,true
TR0007,P0007,韵达快递,苏H84035,2025-07-13,2025-07-28,5-15℃,true
TR0008,P0008,韵达快递,苏K32063,2025-08-17,2025-08-28,5-15℃,true
TR0009,P0009,顺丰冷链物流,鲁V40393,2025-07-24,2025-07-26,2-8℃,true
TR0010,P0010,德邦物流,粤G99632,2025-07-12,2025-07-27,5-15℃,true
TR0011,P0011,顺丰冷链物流,鲁P52500,2025-11-21,2025-11-26,0-5℃,true
TR0012,P0012,圆通速递,浙C35563,2025-08-13,2025-08-28,0-4℃,true
TR0013,P0013,韵达快递,苏N39182,2025-10-10,2025-10-26,2-8℃,true
TR0014,P0014,韵达快递,苏G79551,2025-09-18,2025-09-27,0-4℃,true
TR0015,P0015,德邦物流,粤V68080,2025-09-07,2025-09-27,0-4℃,true
TR0016,P0016,申通快递,闽M39685,2025-07-10,2025-07-26,2-8℃,true
TR0017,P0017,德邦物流,粤F20858,2025-08-02,2025-08-27,常温,true
TR0018,P0018,中通快递,沪Y61469,2025-08-19,2025-08-26,2-8℃,true
TR0019,P0019,圆通速递,浙M57506,2025-08-17,2025-08-26,0-4℃,true
TR0020,P0020,申通快递,闽S17598,2025-10-17,2025-10-28,0-5℃,true
TR0021,P0021,申通快递,闽E77758,2025-10-07,2025-10-28,0-5℃,true
TR0022,P0022,极兔速递,鄂Q21924,2025-09-07,2025-09-28,0-4℃,true
TR0023,P0023,顺丰冷链物流,鲁S61539,2025-08-11,2025-08-27,2-8℃,true
TR0024,P0024,中通快递,沪K33846,2025-11-15,2025-11-26,0-5℃,true
TR0025,P0025,韵达快递,苏U88901,2025-11-21,2025-11-26,0-4℃,true
TR0026,P0026,圆通速递,浙M22897,2025-10-04,2025-10-27,0-5℃,true
TR0027,P0027,韵达快递,苏E90399,2025-10-05,2025-10-26,常温,true
TR0028,P0028,中通快递,沪L63813,2025-08-19,2025-08-28,5-15℃,true
TR0029,P0029,极兔速递,鄂U76790,2025-10-05,2025-10-26,常温,true
TR0030,P0030,极兔速递,鄂I88110,2025-09-04,2025-09-26,5-15℃,true
TR0031,P0031,韵达快递,苏C36293,2025-09-22,2025-09-27,2-8℃,true
TR0032,P0032,申通快递,闽F91050,2025-11-11,2025-11-27,0-5℃,true
TR0033,P0033,申通快递,闽L43937,2025-11-05,2025-11-27,0-4℃,true
TR0034,P0034,德邦物流,粤B35451,2025-11-05,2025-11-26,常温,true
TR0035,P0035,韵达快递,苏K68466,2025-08-18,2025-08-27,0-4℃,true
TR0036,P0036,中通快递,沪K91883,2025-07-06,2025-07-28,0-5℃,true
TR0037,P0037,京东物流,京G83508,2025-11-25,2025-11-26,0-4℃,true
TR0038,P0038,中通快递,沪J84176,2025-11-03,2025-11-26,2-8℃,true
TR0039,P0039,极兔速递,鄂K75205,2025-08-04,2025-08-28,常温,true
TR0040,P0040,顺丰冷链物流,鲁L75330,2025-09-14,2025-09-27,常温,true
TR0041,P0041,百世快递,川N70187,2025-11-18,2025-11-28,0-5℃,true
TR0042,P0042,韵达快递,苏S31318,2025-11-20,2025-11-26,5-15℃,true
