warning_id,product_id,warning_level,warning_type,problem_stage,description,create_time,status
WR0001,P0024,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-10-11 18:00:00,pending
WR0002,P0197,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-07-14 09:00:00,processing
WR0003,P0226,high,种植环境异常,种植环节,土壤或环境指标异常,2025-06-09 14:00:00,resolved
WR0004,P0238,high,种植环境异常,种植环节,土壤或环境指标异常,2025-09-15 12:00:00,pending
WR0005,P0313,high,种植环境异常,种植环节,土壤或环境指标异常,2025-06-27 11:00:00,processing
WR0006,P0425,high,种植环境异常,种植环节,土壤或环境指标异常,2025-06-06 10:00:00,processing
WR0007,P0445,high,种植环境异常,种植环节,土壤或环境指标异常,2025-08-14 18:00:00,pending
WR0008,P0506,high,种植环境异常,种植环节,土壤或环境指标异常,2025-06-15 17:00:00,pending
WR0009,P0591,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-07-04 10:00:00,resolved
WR0010,P0635,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-08-22 10:00:00,resolved
WR0011,P0656,high,种植环境异常,种植环节,土壤或环境指标异常,2025-11-02 10:00:00,resolved
WR0012,P0664,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-09-27 08:00:00,resolved
WR0013,P0696,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-05-06 13:00:00,processing
WR0014,P0705,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-09-25 11:00:00,resolved
WR0015,P0823,high,种植环境异常,种植环节,土壤或环境指标异常,2025-06-10 16:00:00,resolved
WR0016,P0852,high,种植环境异常,种植环节,土壤或环境指标异常,2025-10-14 15:00:00,resolved
WR0017,P0865,high,种植环境异常,种植环节,土壤或环境指标异常,2025-09-03 16:00:00,pending
WR0018,P0867,medium,种植环境异常,种植环节,土壤或环境指标异常,2025-07-05 18:00:00,processing
WR0019,P0896,high,种植环境异常,种植环节,土壤或环境指标异常,2025-06-10 10:00:00,processing
WR0020,P0939,high,种植环境异常,种植环节,土壤或环境指标异常,2025-08-13 09:00:00,processing
WR0021,P0957,high,种植环境异常,种植环节,土壤或环境指标异常,2025-06-20 12:00:00,resolved
WR0022,P0990,high,种植环境异常,种植环节,土壤或环境指标异常,2025-04-04 11:00:00,resolved
WR0023,P0009,medium,加工卫生不达标,加工环节,卫生评分89分低于90分标准,2025-07-17 17:00:00,resolved
WR0024,P0028,medium,加工卫生不达标,加工环节,卫生评分80分低于90分标准,2025-11-23 16:00:00,processing
WR0025,P0029,medium,加工卫生不达标,加工环节,卫生评分85分低于90分标准,2025-11-25 08:00:00,processing
WR0026,P0040,medium,加工卫生不达标,加工环节,卫生评分85分低于90分标准,2025-09-01 11:00:00,pending
WR0027,P0053,medium,加工卫生不达标,加工环节,卫生评分89分低于90分标准,2025-10-18 10:00:00,resolved
WR0028,P0133,medium,加工卫生不达标,加工环节,卫生评分82分低于90分标准,2025-12-26 13:00:00,resolved
WR0029,P0165,medium,加工卫生不达标,加工环节,卫生评分84分低于90分标准,2025-10-16 14:00:00,resolved
WR0030,P0194,medium,加工卫生不达标,加工环节,卫生评分87分低于90分标准,2025-08-05 18:00:00,pending
WR0031,P0211,medium,加工卫生不达标,加工环节,卫生评分89分低于90分标准,2025-10-02 10:00:00,resolved
WR0032,P0217,medium,加工卫生不达标,加工环节,卫生评分80分低于90分标准,2025-08-15 16:00:00,pending
WR0033,P0220,medium,加工卫生不达标,加工环节,卫生评分84分低于90分标准,2025-09-25 15:00:00,pending
WR0034,P0286,medium,加工卫生不达标,加工环节,卫生评分88分低于90分标准,2025-06-14 11:00:00,processing
WR0035,P0297,medium,加工卫生不达标,加工环节,卫生评分88分低于90分标准,2025-09-14 09:00:00,processing
WR0036,P0316,medium,加工卫生不达标,加工环节,卫生评分80分低于90分标准,2025-08-04 15:00:00,pending
WR0037,P0357,medium,加工卫生不达标,加工环节,卫生评分89分低于90分标准,2025-11-11 08:00:00,processing
WR0038,P0366,medium,加工卫生不达标,加工环节,卫生评分86分低于90分标准,2025-07-15 13:00:00,pending
WR0039,P0540,medium,加工卫生不达标,加工环节,卫生评分84分低于90分标准,2025-09-15 17:00:00,processing
WR0040,P0575,medium,加工卫生不达标,加工环节,卫生评分82分低于90分标准,2025-12-04 17:00:00,processing
WR0041,P0659,medium,加工卫生不达标,加工环节,卫生评分88分低于90分标准,2025-10-20 15:00:00,pending
WR0042,P0673,medium,加工卫生不达标,加工环节,卫生评分89分低于90分标准,2025-11-20 18:00:00,processing
WR0043,P0707,medium,加工卫生不达标,加工环节,卫生评分80分低于90分标准,2025-09-15 18:00:00,processing
WR0044,P0748,medium,加工卫生不达标,加工环节,卫生评分86分低于90分标准,2025-07-18 09:00:00,processing
WR0045,P0762,medium,加工卫生不达标,加工环节,卫生评分83分低于90分标准,2025-07-02 14:00:00,pending
WR0046,P0771,medium,加工卫生不达标,加工环节,卫生评分84分低于90分标准,2025-09-23 13:00:00,processing
WR0047,P0773,medium,加工卫生不达标,加工环节,卫生评分84分低于90分标准,2025-08-06 14:00:00,processing
WR0048,P0776,medium,加工卫生不达标,加工环节,卫生评分89分低于90分标准,2025-10-20 12:00:00,resolved
WR0049,P0778,medium,加工卫生不达标,加工环节,卫生评分86分低于90分标准,2025-06-18 09:00:00,resolved
WR0050,P0805,medium,加工卫生不达标,加工环节,卫生评分80分低于90分标准,2025-10-01 18:00:00,resolved
WR0051,P0847,medium,加工卫生不达标,加工环节,卫生评分86分低于90分标准,2025-10-19 13:00:00,resolved
WR0052,P0867,medium,加工卫生不达标,加工环节,卫生评分85分低于90分标准,2025-09-24 13:00:00,resolved
WR0053,P0887,medium,加工卫生不达标,加工环节,卫生评分80分低于90分标准,2025-08-24 08:00:00,pending
WR0054,P0895,medium,加工卫生不达标,加工环节,卫生评分87分低于90分标准,2025-08-25 12:00:00,processing
WR0055,P0938,medium,加工卫生不达标,加工环节,卫生评分88分低于90分标准,2025-09-13 18:00:00,resolved
WR0056,P0988,medium,加工卫生不达标,加工环节,卫生评分80分低于90分标准,2025-07-23 17:00:00,resolved
WR0057,P1037,medium,加工卫生不达标,加工环节,卫生评分82分低于90分标准,2025-12-26 10:00:00,processing
WR0058,P1165,medium,加工卫生不达标,加工环节,卫生评分81分低于90分标准,2025-10-25 08:00:00,processing
WR0059,P1181,medium,加工卫生不达标,加工环节,卫生评分85分低于90分标准,2025-11-10 17:00:00,resolved
WR0060,P0003,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-11-26 16:00:00,pending
WR0061,P0098,medium,运输温度异常,运输环节,运输过程中温度超出2-8℃范围,2025-09-26 17:00:00,pending
WR0062,P0106,medium,运输温度异常,运输环节,运输过程中温度超出5-15℃范围,2025-09-27 12:00:00,processing
WR0063,P0111,medium,运输温度异常,运输环节,运输过程中温度超出0-5℃范围,2025-10-28 16:00:00,pending
WR0064,P0159,medium,运输温度异常,运输环节,运输过程中温度超出0-4℃范围,2025-08-28 08:00:00,processing
